Year,Organization,Country HQ,Country location,Row,Forest Risk Commodity,Forest Risk Assessment,Forest Risk Process,Regulatory risks - Risk Present,Regulatory risks - Further Details,Reputational Risks - Risk Present,Reputational Risks - Further Details,Operational Risks - Risk Present,Operational Risks - Further Details
2013,adidas AG,Germany,"(51.165691, 10.451526)",1,Timber,Partial,"All office paper comes from FSC certfied sources
All shoe boxes and transport packaging is made of 98 % recycled content",No risk,,Non-material risk,,Non-material risk,
2013,adidas AG,Germany,"(51.165691, 10.451526)",2,Cattle Products,Yes or 100% third party certified raw materials already achieved,All leather suppliers are covered by the monitoring protocol of the LWG,No risk,,Non-material risk,,Non-material risk,Potential target of campaign organisations
2014,adidas AG,Germany,"(51.165691, 10.451526)",1,Timber,Partial,"All office paper comes from FSC certfied sources
All shoe boxes and transport packaging is made of 98 % recycled content",No risk,,Non-material risk,,Non-material risk,
2014,adidas AG,Germany,"(51.165691, 10.451526)",2,Cattle Products,,All leather suppliers are covered by the monitoring protocol of the LWG,No risk,,Non-material risk,,Non-material risk,Potential target of campaign organisations 
2013,Agropalma,Brazil,"(-14.235004, -51.92528)",1,Palm Oil,Yes or 100% third party certified raw materials already achieved,"Agropalma supplies about 85% of FFB processed in its mills. The rest is supplied by 232 integrated FFB suppliers (185 smallholders and 47 medium outgrowers). Agropalma has a formal supply contract with each one of all FFB suppliers. A Social and Environmental Assessment, which included deforestation and HCV approaches, were conducted in company farm and in all FFB suppliers farms.",No risk,"Considering the definition of regulatory risk provide by the ""guidance”, the is no risk of a new legislation, rule or norm that intends to fight deforestation affect us, because Agropalma only source FFB, and consequently CPO, from areas where native vegetation was removed before November 2005.",Non-material risk,"As explained before, Agropalma sources about 15% of FFB consumed in palm oil extraction mills. These FFB comes from 47 big outgrowers and 185 smallholders. Company has full control about deforestation issues because it approves or don’t the areas intended to be planted. But the social performance of our supplier partners, especially the smallholders, is difficult to control. So, for example, there is the risk of some work accidents, no adequate labor conditions, etc. being exposed (it happened already). To address these issues, Agropalma is supporting the FFB suppliers to get RSPO Certification. Anyway we understand that is more sustainable include smallholders in our core business and support them to get a good level of social performance than just put them aside of our supply chain.",No risk,"The anwer was given considering the definition of operational risks provided by the ""guidance"". As explained before, Agropalma choses or approves the land where a new oil palm planting will be established, and we just accept areas deforested before November 2005. Agropalma also buy FFB just from who have a contract with company. In this way, we have 100% control on the land where our FFB comes from and we can assure that our FFB sourcing is not related with deforestation."
2013,Ahlstrom Corporation,Finland,"(61.92411, 25.748151)",1,Timber,Yes or 100% third party certified raw materials already achieved,"EU Timber Regulation Due Diligence System established and third party verified. See attachment. 
81% of the fiber raw materials were purchased asFSC or PEFC certified or FSC Controlled Wood certified. This was 100% for the CoC certified plants.   
FSC Controlled Wood risk assessments by own company verification for for two pulps. ",Non-material risk,"The EU Timber Regulation and The US Lacey Act pose a regulatory risk associated with purchases of timber based raw materials. 
Ahlstrom has a Due Diligence System in place that is externally verified to comply with the legislations.",Non-material risk,"Ahlstrom is further away in the value chain and not directly associated with forests. The reputational risk is therefore not imminent, albeit possible for some external parties to question the actions of some suppliers, justified or not.",No risk,"Being a large buyer of market pulp, Ahlstrom has qualified alternative sources of supply for its key raw materials."
2014,Ahlstrom Corporation,Finland,"(61.92411, 25.748151)",1,Timber,Yes,"Due Diligence System for EU Timber Regulation and the US Lacey Act. Pertinent risk assessments related to chain-of-custody forest certifications as described in the standard criteria. Three countries assessed for risk based on FSC criteria for own verification were France, Spain and the United States.",Non-material risk,The EU Timber Regulation and The US Lacey Act pose a regulatory risk associated with purchases of timber based raw materials. Ahlstrom has a Due Diligence System in place to comply with the legislations.,Non-material risk,"Ahlstrom is a supplier to some of the world's most well-known brands, that may be subject to extra scrutiny for their fiber based materials.",No risk,"Being a large buyer of market pulp, Ahlstrom has qualified alternative sources of supply for its key raw materials."
2013,Amcor,Australia,"(-25.274398, 133.775136)",1,Timber,Partial,"For purchased market pulp – Petrie Mill has conducted a risk assessment process of its pulp suppliers (as part of its FSC Certification) using the risk assessment process in the FSC Standard (FSC_STD_40-005) for Company Evaluation of FSC Controlled Wood.  This is also published on the FSC Website:
http://info.fsc.org/Detail?id=a024000000844FSAAY

Amcor has a detailed supplier risk assessment process.  This includes the probability and impact of a range of operational, financial, reputation and viability risks relating to suppliers.",Non-material risk,"There is some small risk associated with ensuring suppliers of fibre products into the EU comply with the EU Timber Regulation.  However, the risk is small as most suppliers are already compliant, and so alternatives are available if a supplier cannot comply.
There is also a small risk of legislation being implemented in other regions, which may require additional time or financial commitments in order to achieve compliance.",Material risk,"There is significant reputational risk associated with purchasing fibre products, particularly for non-certified products from Asia, due to prominent NGOs focussing in this area.  This is mitigated by choosing suppliers with certification in place, operations in regions of low risk or good governance procedures.",Material risk,"Availability of certified paper may become limited as demand for certified paper increases. 
Increase in cost of certified paper may increase cost of production."
2014,Brambles,Australia,"(-25.274398, 133.775136)",1,Timber,Yes,"Management is responsible for the development, implementation and management of systems that:
- identify, assess and manage risks in an effective and efficient manner;
- enable decisions to be based on a comprehensive view of the reward-to-risk balance;
- provide greater certainty of the delivery of objectives; and
- satisfy the Group’s corporate governance requirements.

One element of Brambles’ internal risk control systems is its Code of Conduct (attached).  Brambles is committed to working towards Zero Harm (Charter attached), meaning no injuries and no environmental damage and no detrimental impact on human rights. Brambles focus is to provide innovative, efficient and sustainable pooling solutions to its customers.

The Environmental Policy in the Code of Conduct is set by the Board and operates worldwide, including in countries that may not yet have enacted laws for the protection of the environment. CHEP maintains strict lumber sourcing policies that support the replenishment of natural resources by sourcing lumber in a responsible and sustainable manner. CHEP does not source from protected areas, parks or similar areas in which harvesting operations do not promote responsible forestry management. CHEP has a target of achieving chain of custody certification for lumber purchased for CHEP pallets by 2015, to provide a focus for the continual improvement and promotion of the responsible and sustainable procurement of lumber.

In addition, in FY13, Brambles developed a global supplier policy covering areas of compliance, diversity, labour standards, human rights, safety and the environment and outlining the Group's commitment to working with suppliers to develop more efficient, safer and sustainable supply chains.

Suppliers are expected to follow the principles of Brambles Zero Harm commitment. The supplier policy will be rolled out to all Brambles businesses in FY14.

Further information on Brambles' risks management processes and controls are reported in the Corporate Governance Statement of its Annual Report pp 26-28 attached.

In addition, when completing the demerger of its Recall business, Brambles disclosed key risks in the Scheme Book (attached below). This included Fluctuations in commodity prices and raw material availability (including lumber). (see p 106)",Non-material risk,"In Australia, The Illegal Logging Prohibition Amendment Regulation 2013 prohibits the importation and sale of all timber products containing illegally logged timber; prohibits the processing of illegally harvested domestically grown raw logs; requires importers of regulated timber products and processors of raw logs to comply with due diligence requirements; requires the accurate description of legally logged timber products for sale in Australia; establishes enforcement powers and offences, and imposes penalties; and provides for a review of the first five years of the operation of the Act. Similar legislation may exist in other countries in which CHEP operates. The risk associated with legality of purchased lumber means CHEP must be able to verify this within its supply chain, especially where pallets may be shipped internationally.",Material risk,"Our customers are increasingly concerned about impacts on the environment. Reputational risk could arise if we are not seen to be addressing our impacts on the environment. Brambles’ Group risk matrix, which sets out the top 10 “net” risks facing the Group and the steps being taken to mitigate those risks, in FY13 included risks of competition and retention of major customers (p 7 of Annual Report 2013). Reputational risk could arise if we are not seen to be addressing our impacts on the environment. If we are not sufficiently transparent about our actions in these areas, it could lead to customers taking their business to competitors. The credibility and business value of our business brand could be undermined by negative publicity around any practices that are counter to reducing our environmental impact. In 2010, Brambles announced its sustainability strategy and its strategic objectives and initiatives over five years to 2015. The targets Brambles has set for 2015, including the target of chain of custody certification for lumber purchased for pallets, are key drivers in its efforts. Commentary on the targets and the progress made is in the 2013 Sustainability Review, pp 12-14. Brambles could face reputational damage that affects its share price through exclusion from ethical/green investment funds, including superannuation funds in Australia that consider sustainability initiatives. Brambles’ Group risk matrix in FY13 included risks to our business model, strategy and execution, innovation and others (see p 7 of the Annual Report 2013).] Brambles believes its sustainability strategy and targets, including annual reporting on progress against these targets, address the environmental concerns of its investors. It regularly provides communication to the investment community to alleviate this risk and considers sustainability throughout its business operations, including through its Code of Conduct and Zero Harm Charter.",Material risk,"Brambles’ Group risk matrix, which sets out the top 10 “net” risks facing the Group and the steps being taken to mitigate those risks, in FY13 included risks to the business model, where changing supply chain dynamics and customer needs could render CHEP's existing service offering and business model out of date (p 7 of Annual Report 2013). Current market issues that, in combination or separately, could support competitive service offerings include attributes of wood versus alternative materials, etc. These issues could, over time, have an impact on revenue, cost base, economies of scale and the value of CHEP's existing assets.

The Scheme Book - demerger of Recall (attached) noted that rapid and sustained changes in the availability and price of lumber may result in decreased demand for Brambles' services, increases in its costs and reduced profitability (p 104). It also noted Brambles has operations directly or indirectly exposed to volatility in costs of lumber (p 106). While Brambles generally sources supplies of raw materials from a range of providers in each geographic region, in Australia Brambles is dependent on a single supplier for its lumber and plastic resin. CHEP's pallet pooling system operates on the principles of recover, reduce, reuse and recycle, reclaiming and reusing lumber when pallets are conditioned. This reduces the need for virgin raw materials (see p 14 Sustainability Review). Pallets Asia-Pacific (of which Australia is a part) reported $US391.8 million sales revenue for FY13. Pallets reported $US3,944.4 million in sales revenue for FY13."
2014,Amcor,Australia,"(-25.274398, 133.775136)",1,Timber,Yes,"An initial risk assessment of fibre sources covering regulatory, reputational and operational risk was conducted for Amcor in 2013 by the Forest Trust.  Additional work has also been conducted by Amcor business groups:
One business group assesses risk for paper suppliers in the same way as all other suppliers, covering issues of contingency, supplier managing their own supply chain, and product safety / legal compliance (such as meeting EU timber regulations for paper suppliers).  
For purchased market pulp – Petrie Mill has conducted a risk assessment process of its pulp suppliers (as part of its FSC Certification) using the risk assessment process in the FSC Standard (FSC_STD_40-005) for Company Evaluation of FSC Controlled Wood.  This is also published on the FSC Website: http://info.fsc.org/Detail?id=a024000000844FSAAY.",Non-material risk,"There is some small risk associated with ensuring suppliers of fibre products into the EU comply with the EU Timber Regulation.  However, the risk is small as most suppliers are already compliant, and so alternatives are available if a supplier cannot comply. There is also a small risk of legislation being implemented in other regions, which may require additional time or financial commitments in order to achieve compliance.",Material risk,"There is significant reputational risk associated with purchasing fibre products, particularly for non-certified products from Asia, due to prominent NGOs focussing in this area.  This is mitigated by choosing suppliers with certification in place, operations in regions of low risk or good governance procedures.  During the reporting year, Amcor worked with one such supplier who was considered to be the highest risk (although only supplying a small amount to Amcor), to ensure good procedures were in place to reduce this risk.",Non-material risk,"Availability of certified paper may become limited as demand for certified paper increases.  Increase in cost of certified paper may increase cost of production.  However, the risk is considered to be minor as it is believed that certified paper needs can be met for the foreseeable future."
