Organization,ISIN,BBID,Ticker,Sector,Country HQ,Does your organization have a water policy?
3M Company,US88579Y1010,EQ0010100100001000,MMM US,Industrials,USA,"Yes, a company-wide water policy"
3Y,,,,,USA,No
A & R GROUP,,,,Materials,Germany,No
Abbott Laboratories,US0028241000,EQ0010000200001000,ABT US,Health Care,USA,"Yes, a publicly available company-wide water policy"
Aero Pharma Silvasa,,,,Consumer Staples,India,"Yes, a water policy for select facilities only"
Acbel Polytech Inc,,,,,Taiwan,"Yes, a water policy for select facilities only"
ACCIONA S.A.,ES0125220311,EQ0011740600001000,ANA SM,Utilities,Spain,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
ACUMULADORES MOURA SA,,,,Industrials,Brazil,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
"Advanced Micro Devices, Inc",US0079031078,EQ0010001000001000,AMD US,,USA,Other: AMD has established water reduction goals and a general environmental policy that includes resource conservation.
AECI Ltd Ord,ZAE000000220,EQ0013008400001000,AFE SJ,Materials,South Africa,"Yes, a company-wide water policy"
AFB International,,,,Materials,USA,No
Ahlstrom Corporation,FI0009010391,EQ0012529400002000,AHL1V FH,Materials,Finland,"Yes, a company-wide water policy"
Ajinomoto Co.Inc.,JP3119600009,EQ0011329200001000,2802 JP,Consumer Staples,Japan,"Yes, a publicly available company-wide water policy"
Akamai Technologies Inc,US00971T1016,EQ0039337400001000,AKAM US,Information Technology,USA,No
Allied Electronics Corporation Ltd (Altron),ZAE000029658,EQ0000000037590295,,Industrials,South Africa,"Yes, a company-wide water policy"
AkzoNobel,NL0000009132,EQ0011564800001000,AKZA NA,Materials,Netherlands,"Other: Yes, Integrated into resource efficiency strategy"
ALBRIGHT & WILSON (AUSTRALIA) LTD,,,,Materials,Australia,"Yes, a company-wide water policy"
Alcoa Inc.,US0138171014,EQ0010004600001000,AA US,Materials,USA,"Yes, a publicly available company-wide water policy"
Alfa Packaging,,,,Consumer Staples,India,"Yes, a water policy for select facilities only"
"Allergan, Inc.",US0184901025,EQ0010003800001000,AGN US,Health Care,USA,"Yes, a publicly available company-wide water policy"
Alliance One International Inc.,,,,Consumer Staples,USA,Other: Water use reduction targets
Alpha Networks,,,,Information Technology,Taiwan,No
ALPLA,,,,Consumer Staples,Austria,No
"Alps Electric Co., Ltd.",JP3126400005,EQ0011330000001000,6770 JP,Information Technology,Japan,"Yes, a publicly available company-wide water policy"
"Aluprint Plegadizos, S. de R.L. de C.V.",,,,Materials,Mexico,No
Altera Corp.,US0214411003,EQ0010202600001000,ALTR US,,USA,No
"Altria Group, Inc.",US02209S1033,EQ0010117200001000,MO US,Consumer Staples,USA,"Yes, a company-wide water policy"
Amcor,AU000000AMC4,EQ0011259500001000,AMC AU,Materials,Australia,Other: Included as part of Amcor's Environment Policy (publicly available)
Ameren Corporation,US0236081024,EQ0031309800001000,AEE US,Utilities,USA,"Yes, a company-wide water policy"
"American Electric Power Company, Inc.",US0255371017,EQ0010006000001000,AEP US,Utilities,USA,"Yes, a water policy for select facilities only"
"Amgen, Inc.",US0311621009,EQ0010169300001000,AMGN US,Health Care,USA,"Yes, a company-wide water policy"
Amphenol TCS,,,,Information Technology,USA,No
